,Model,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Year,Origin,pca1,pca2
0,chevrolet chevelle malibu,18.0,8,307.0,130,3504,12.0,70,US,0.8298646241959803,0.05098830849289406
1,buick skylark 320,15.0,8,350.0,165,3693,11.5,70,US,0.9434581337717092,0.059229080318365705
2,plymouth satellite,18.0,8,318.0,150,3436,11.0,70,US,0.8635170472401488,0.050231325342922184
3,amc rebel sst,16.0,8,304.0,150,3433,12.0,70,US,0.8574650878154072,0.05463713772115768
4,ford torino,17.0,8,302.0,140,3449,10.5,70,US,0.8480444696849777,0.05092615492152506
5,ford galaxie 500,15.0,8,429.0,198,4341,10.0,70,US,1.1090390011030902,0.06573022060847784
6,chevrolet impala,14.0,8,454.0,220,4354,9.0,70,US,1.1692153947129038,0.067620562654928
7,plymouth fury iii,14.0,8,440.0,215,4312,8.5,70,US,1.1511027645231497,0.06634152184830859
8,pontiac catalina,14.0,8,455.0,225,4425,10.0,70,US,1.1756429019584813,0.06965579339855726
9,amc ambassador dpl,15.0,8,390.0,190,3850,8.5,70,US,1.0370037127126661,0.058778013659527284
10,dodge challenger se,15.0,8,383.0,170,3563,10.0,70,US,0.9760127000754502,0.05675144796057168
11,plymouth 'cuda 340,14.0,8,340.0,160,3609,8.0,70,US,0.9491449187970233,0.0559149163225184
12,chevrolet monte carlo,15.0,8,400.0,150,3761,9.5,70,US,0.9850827981574702,0.05723171206731765
13,buick estate wagon (sw),14.0,8,455.0,225,3086,10.0,70,US,1.0709092148354389,0.05695240358416242
14,toyota corona mark ii,24.0,4,113.0,95,2372,15.0,70,Japan,-0.7696291709823524,-0.45884236075908974
15,plymouth duster,22.0,6,198.0,95,2833,15.5,70,US,0.4401179793854673,0.04014244857969966
16,amc hornet,18.0,6,199.0,97,2774,15.5,70,US,0.4625994793953645,0.046481322612095484
17,ford maverick,21.0,6,200.0,85,2587,16.0,70,US,0.41370457634521074,0.039609714100588174
18,datsun pl510,27.0,4,97.0,88,2130,14.5,70,Japan,-0.825359009934395,-0.4672239471645851
19,volkswagen 1131 deluxe sedan,26.0,4,97.0,46,1835,20.5,70,Europe,-0.8358440502309556,0.9031148144628414
20,peugeot 504,25.0,4,110.0,87,2672,17.5,70,Europe,-0.6869802955940086,0.9114036772024414
21,audi 100 ls,24.0,4,107.0,90,2430,14.5,70,Europe,-0.6811833462870349,0.9075697716034938
22,saab 99e,25.0,4,104.0,95,2375,17.5,70,Europe,-0.7057852517123049,0.9089260799431278
23,bmw 2002,26.0,4,121.0,113,2234,12.5,70,Europe,-0.6574684420292731,0.9012384932936821
24,amc gremlin,21.0,6,199.0,90,2648,15.0,70,US,0.429479082749038,0.03929752858826119
25,ford f250,10.0,8,360.0,215,4615,14.0,70,US,1.098488497548707,0.08168922866418737
26,chevy c20,10.0,8,307.0,200,4376,15.0,70,US,1.0112293732693294,0.07951365474364365
27,dodge d200,11.0,8,318.0,210,4382,13.5,70,US,1.0357792349062838,0.07672829933721183
28,hi 1200d,9.0,8,304.0,193,4732,18.5,70,US,1.0135044344816782,0.08816362602525901
29,datsun pl510,27.0,4,97.0,88,2130,14.5,71,Japan,-0.8374559029325211,-0.48297538576195204
30,chevrolet vega 2300,28.0,4,140.0,90,2264,15.5,71,US,0.13378064245139157,0.008915235336966353
31,toyota corona,25.0,4,113.0,95,2228,14.0,71,Japan,-0.7930475557796355,-0.4787797501421005
32,amc gremlin,19.0,6,232.0,100,2634,13.0,71,US,0.47984139963163996,0.025243442180690138
33,plymouth satellite custom,16.0,6,225.0,105,3439,15.5,71,US,0.5459529827270337,0.040972740361835305
34,chevrolet chevelle malibu,17.0,6,250.0,100,3329,15.5,71,US,0.5465919386602033,0.03814617314918245
35,ford torino 500,19.0,6,250.0,88,3302,15.5,71,US,0.518289901410492,0.033925942773944735
36,amc matador,18.0,6,232.0,100,3288,15.5,71,US,0.5221880902117393,0.03594816454669093
37,chevrolet impala,14.0,8,350.0,165,4209,12.0,71,US,0.9747350686679316,0.05063274279096181
38,pontiac catalina brougham,14.0,8,400.0,175,4464,11.5,71,US,1.05181371674878,0.05326660344886052
39,ford galaxie 500,14.0,8,351.0,153,4154,13.5,71,US,0.9481604883265612,0.05123243543001736
40,plymouth fury iii,14.0,8,318.0,150,4096,13.0,71,US,0.9150976191272938,0.0497802318025449
41,dodge monaco (sw),12.0,8,383.0,180,4955,11.5,71,US,1.0937125666267775,0.0614560379638071
42,ford country squire (sw),13.0,8,400.0,170,4746,12.0,71,US,1.0709459407783428,0.05796632866282992
43,pontiac safari (sw),13.0,8,400.0,175,5140,12.0,71,US,1.1077023989670178,0.06193965998581573
44,amc hornet sportabout (sw),18.0,6,258.0,110,2962,13.5,71,US,0.5423838135240746,0.031243748883617455
45,chevrolet vega (sw),22.0,4,140.0,72,2408,19.0,71,US,0.13879018185163233,0.023552342019306474
46,pontiac firebird,19.0,6,250.0,100,3282,15.0,71,US,0.5339335550107942,0.03374098052937045
47,ford mustang,18.0,6,250.0,88,3139,14.5,71,US,0.5174197156442911,0.03295893180153909
48,mercury capri 2000,23.0,4,122.0,86,2220,14.0,71,US,0.14906947127968162,0.01501777482656849
49,opel 1900,28.0,4,116.0,90,2123,14.0,71,Europe,-0.7305986089268028,0.8816019827283097
50,peugeot 304,30.0,4,79.0,70,2074,19.5,71,Europe,-0.8339339433050406,0.8827325581704046
51,fiat 124b,30.0,4,88.0,76,2065,14.5,71,Europe,-0.790344453371927,0.8773833675944149
52,toyota corolla 1200,31.0,4,71.0,65,1773,19.0,71,Japan,-0.9651662360504036,-0.48936060722863695
53,datsun 1200,35.0,4,72.0,69,1613,18.0,71,Japan,-0.9900484664173907,-0.4986027766432265
54,volkswagen model 111,27.0,4,97.0,60,1834,19.0,71,Europe,-0.828493821819035,0.8846330263614619
55,plymouth cricket,26.0,4,91.0,70,1955,20.5,71,US,0.02678672986614881,0.01374447501757759
56,toyota corona hardtop,24.0,4,113.0,95,2278,15.5,72,Japan,-0.8041307336860405,-0.49067694061424255
57,dodge colt hardtop,25.0,4,97.5,80,2126,17.0,72,US,0.07209723754500597,-0.0020954735920993466
58,volkswagen type 3,23.0,4,97.0,54,2254,23.5,72,Europe,-0.8175883856777948,0.8844230413201715
