,Model,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Year,Origin,pca1,pca2
0,chevrolet chevelle malibu,18.0,8,307.0,130,3504,12.0,70,US,0.7923022088941302,0.2160907317656447
1,buick skylark 320,15.0,8,350.0,165,3693,11.5,70,US,0.839335436485011,-0.11765537182657532
2,plymouth satellite,18.0,8,318.0,150,3436,11.0,70,US,0.9934298430101933,0.07218748339598882
3,amc rebel sst,16.0,8,304.0,150,3433,12.0,70,US,0.8955088474442486,0.18098875610072118
4,ford torino,17.0,8,302.0,140,3449,10.5,70,US,0.963184797794939,-0.16582592273427613
5,ford galaxie 500,15.0,8,429.0,198,4341,10.0,70,US,1.0048933379127465,0.08156402037166473
6,chevrolet impala,14.0,8,454.0,220,4354,9.0,70,US,1.2712217706885143,0.2844466045461823
7,plymouth fury iii,14.0,8,440.0,215,4312,8.5,70,US,1.1213514697599787,0.21148659900277383
8,pontiac catalina,14.0,8,455.0,225,4425,10.0,70,US,1.124126967100859,-0.0779995808066316
9,amc ambassador dpl,15.0,8,390.0,190,3850,8.5,70,US,1.0448439943223171,0.1329216052757258
10,dodge challenger se,15.0,8,383.0,170,3563,10.0,70,US,0.9654729958659009,-0.02561713359408406
11,plymouth 'cuda 340,14.0,8,340.0,160,3609,8.0,70,US,1.0699089424889985,-0.06358663128311139
12,chevrolet monte carlo,15.0,8,400.0,150,3761,9.5,70,US,0.9003877011580855,0.056006772288529974
13,buick estate wagon (sw),14.0,8,455.0,225,3086,10.0,70,US,1.202798749024569,-0.020230408133961333
14,toyota corona mark ii,24.0,4,113.0,95,2372,15.0,70,Japan,-0.8076410992624697,-0.21038856899740666
15,plymouth duster,22.0,6,198.0,95,2833,15.5,70,US,0.37982812804593213,-0.06761660146240266
16,amc hornet,18.0,6,199.0,97,2774,15.5,70,US,0.6083699599661888,0.005877124445835803
17,ford maverick,21.0,6,200.0,85,2587,16.0,70,US,0.40854085375609983,0.1618310390329746
18,datsun pl510,27.0,4,97.0,88,2130,14.5,70,Japan,-0.9022517529586233,-0.6732940680775237
19,volkswagen 1131 deluxe sedan,26.0,4,97.0,46,1835,20.5,70,Europe,-0.9475505051949542,0.9009774653621844
20,peugeot 504,25.0,4,110.0,87,2672,17.5,70,Europe,-0.7659728909915576,0.7717905227928552
21,audi 100 ls,24.0,4,107.0,90,2430,14.5,70,Europe,-0.7092314240535791,0.969723878709791
22,saab 99e,25.0,4,104.0,95,2375,17.5,70,Europe,-0.8435056727423933,0.8535853605037294
23,bmw 2002,26.0,4,121.0,113,2234,12.5,70,Europe,-0.6187412123107034,0.8356947961651491
24,amc gremlin,21.0,6,199.0,90,2648,15.0,70,US,0.41738421778423473,-0.11331909934609359
25,ford f250,10.0,8,360.0,215,4615,14.0,70,US,1.1631673893938714,0.27906951692373555
26,chevy c20,10.0,8,307.0,200,4376,15.0,70,US,0.9734352453741396,0.27656632597670294
27,dodge d200,11.0,8,318.0,210,4382,13.5,70,US,1.1469832282503083,0.10443543116796017
28,hi 1200d,9.0,8,304.0,193,4732,18.5,70,US,0.9368055876899555,0.1918888725187883
29,datsun pl510,27.0,4,97.0,88,2130,14.5,71,Japan,-0.7810069610331113,-0.6711782338447165
30,chevrolet vega 2300,28.0,4,140.0,90,2264,15.5,71,US,0.17349565615277698,-0.08630994695864361
31,toyota corona,25.0,4,113.0,95,2228,14.0,71,Japan,-0.9031181295301527,-0.30798128918989504
32,amc gremlin,19.0,6,232.0,100,2634,13.0,71,US,0.4430959159928035,-0.14311631773619754
33,plymouth satellite custom,16.0,6,225.0,105,3439,15.5,71,US,0.5199539447441998,-0.10359847693124989
34,chevrolet chevelle malibu,17.0,6,250.0,100,3329,15.5,71,US,0.4505656973502119,0.2500859823007841
35,ford torino 500,19.0,6,250.0,88,3302,15.5,71,US,0.38026363281431147,0.12740628095131634
36,amc matador,18.0,6,232.0,100,3288,15.5,71,US,0.487824070852822,0.10402739460684116
37,chevrolet impala,14.0,8,350.0,165,4209,12.0,71,US,0.8841425457773163,0.2329289621009483
38,pontiac catalina brougham,14.0,8,400.0,175,4464,11.5,71,US,0.9519136440515488,0.3031686868368559
39,ford galaxie 500,14.0,8,351.0,153,4154,13.5,71,US,0.8316866674091756,0.14974487839750483
40,plymouth fury iii,14.0,8,318.0,150,4096,13.0,71,US,0.770124631451212,0.21412186808722336
41,dodge monaco (sw),12.0,8,383.0,180,4955,11.5,71,US,1.0327927564746004,0.28631475902083015
42,ford country squire (sw),13.0,8,400.0,170,4746,12.0,71,US,1.2146720562484796,0.1120242448079723
43,pontiac safari (sw),13.0,8,400.0,175,5140,12.0,71,US,1.1799874151781242,-0.10021460488174602
44,amc hornet sportabout (sw),18.0,6,258.0,110,2962,13.5,71,US,0.5565223652102931,-0.014187400777496344
45,chevrolet vega (sw),22.0,4,140.0,72,2408,19.0,71,US,0.20371833177828477,0.08895421199512471
46,pontiac firebird,19.0,6,250.0,100,3282,15.0,71,US,0.5303151860591662,-0.16046998479958652
47,ford mustang,18.0,6,250.0,88,3139,14.5,71,US,0.5176365148309847,0.21326974836888885
48,mercury capri 2000,23.0,4,122.0,86,2220,14.0,71,US,0.17077784392283568,0.17894959490720314
49,opel 1900,28.0,4,116.0,90,2123,14.0,71,Europe,-0.7953388214656087,0.9217938739904621
50,peugeot 304,30.0,4,79.0,70,2074,19.5,71,Europe,-0.7630264828509825,0.895167479558149
51,fiat 124b,30.0,4,88.0,76,2065,14.5,71,Europe,-0.7166782983026723,1.0611211200889985
52,toyota corolla 1200,31.0,4,71.0,65,1773,19.0,71,Japan,-0.9334050420018736,-0.32682833432247593
53,datsun 1200,35.0,4,72.0,69,1613,18.0,71,Japan,-0.8587903603689979,-0.5791963240730895
54,volkswagen model 111,27.0,4,97.0,60,1834,19.0,71,Europe,-0.7038238696530249,1.011159641256233
55,plymouth cricket,26.0,4,91.0,70,1955,20.5,71,US,0.030953569073543994,-0.21279909153198048
56,toyota corona hardtop,24.0,4,113.0,95,2278,15.5,72,Japan,-0.8391424521498236,-0.5778944110997848
57,dodge colt hardtop,25.0,4,97.5,80,2126,17.0,72,US,0.06734275575922452,0.23430453702085133
58,volkswagen type 3,23.0,4,97.0,54,2254,23.5,72,Europe,-0.6914162372625183,1.1109375430426125
59,chevrolet vega,20.0,4,140.0,90,2408,19.5,72,US,0.15054078061745335,-0.02440402755695483
60,ford pinto runabout,21.0,4,122.0,86,2226,16.5,72,US,0.1936811394421081,-0.2405153518939414
61,chevrolet impala,13.0,8,350.0,165,4274,12.0,72,US,0.838554087617876,0.08020185394073685
62,pontiac catalina,14.0,8,400.0,175,4385,12.0,72,US,0.932653097010072,-0.20125372301239217
63,plymouth fury iii,15.0,8,318.0,150,4135,13.5,72,US,0.9212683472331282,0.23629252488031566
64,ford galaxie 500,14.0,8,351.0,153,4129,13.0,72,US,1.0255488861118607,0.13359110700271976
65,amc ambassador sst,17.0,8,304.0,150,3672,11.5,72,US,0.9643421979340013,0.2611166982071407
66,mercury marquis,11.0,8,429.0,208,4633,11.0,72,US,1.260390813628442,0.024248166473381266
67,buick lesabre custom,13.0,8,350.0,155,4502,13.5,72,US,0.966698456686919,0.21968152234249866
68,oldsmobile delta 88 royale,12.0,8,350.0,160,4456,13.5,72,US,0.8621226758619561,0.14712177603540866
69,chrysler newport royal,13.0,8,400.0,190,4422,12.5,72,US,0.9156852320259234,-0.044672346135486575
70,mazda rx2 coupe,19.0,3,70.0,97,2330,13.5,72,Japan,-0.9660798357197387,-0.40581952752311024
71,amc matador (sw),15.0,8,304.0,150,3892,12.5,72,US,0.9239210632945183,0.1988805798734992
72,chevrolet chevelle concours (sw),13.0,8,307.0,130,4098,14.0,72,US,0.9520340849412381,0.16271855430360468
73,ford gran torino (sw),13.0,8,302.0,140,4294,16.0,72,US,0.8204887097129356,0.03639228633291318
74,plymouth satellite custom (sw),14.0,8,318.0,150,4077,14.0,72,US,0.7810485277878232,-0.18303572510270227
75,volvo 145e (sw),18.0,4,121.0,112,2933,14.5,72,Europe,-0.6827271946798671,1.0157814794065085
76,volkswagen 411 (sw),22.0,4,121.0,76,2511,18.0,72,Europe,-0.7646680021726876,0.7312582934165685
77,peugeot 504 (sw),21.0,4,120.0,87,2979,19.5,72,Europe,-0.6578062180418626,0.9617868474509693
78,renault 12 (sw),26.0,4,96.0,69,2189,18.0,72,Europe,-0.90347477866027,0.9201764235816133
79,ford pinto (sw),22.0,4,122.0,86,2395,16.0,72,US,0.2622274165100821,0.16608764035588586
80,datsun 510 (sw),28.0,4,97.0,92,2288,17.0,72,Japan,-0.7708662945948409,-0.4199411304782831
81,toyouta corona mark ii (sw),23.0,4,120.0,97,2506,14.5,72,Japan,-0.7352434677372679,-0.6717173337776802
82,dodge colt (sw),28.0,4,98.0,80,2164,15.0,72,US,0.0785112650306058,-0.18205816729870833
83,toyota corolla 1600 (sw),27.0,4,97.0,88,2100,16.5,72,Japan,-0.9348869948101954,-0.4168017305485568
84,buick century 350,13.0,8,350.0,175,4100,13.0,73,US,0.9768464876903112,0.2521992950402736
85,amc matador,14.0,8,304.0,150,3672,11.5,73,US,0.9688050775148828,-0.21221097829765198
86,chevrolet malibu,13.0,8,350.0,145,3988,13.0,73,US,1.007772996485312,-0.15101235460412474
87,ford gran torino,14.0,8,302.0,137,4042,14.5,73,US,0.8309048329186794,-0.21006795525554875
88,dodge coronet custom,15.0,8,318.0,150,3777,12.5,73,US,0.8872129364913826,-0.017035987697311898
89,mercury marquis brougham,12.0,8,429.0,198,4952,11.5,73,US,1.240441219522039,-0.14674782219555255
90,chevrolet caprice classic,13.0,8,400.0,150,4464,12.0,73,US,0.9898222008395382,0.07321650515167537
91,ford ltd,13.0,8,351.0,158,4363,13.0,73,US,0.9030670537686589,0.0964755711059067
92,plymouth fury gran sedan,14.0,8,318.0,150,4237,14.5,73,US,0.8091201110574416,-0.20708437180102954
93,chrysler new yorker brougham,13.0,8,440.0,215,4735,11.0,73,US,1.1420882133189076,-0.13802558946854007
94,buick electra 225 custom,12.0,8,455.0,225,4951,11.0,73,US,1.2933771849980245,0.010098790140029595
