,Model,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Year,Origin,pca1,pca2
0,chevrolet chevelle malibu,18.0,8,307.0,130,3504,12.0,70,US,0.7828380649830352,0.05706476697785007
1,buick skylark 320,15.0,8,350.0,165,3693,11.5,70,US,0.931827068922637,0.323622000226119
2,plymouth satellite,18.0,8,318.0,150,3436,11.0,70,US,0.8471941582404656,0.07413521586094962
3,amc rebel sst,16.0,8,304.0,150,3433,12.0,70,US,0.8454568537379872,0.4728739079197894
4,ford torino,17.0,8,302.0,140,3449,10.5,70,US,0.7823995728293287,0.40906924862739863
5,ford galaxie 500,15.0,8,429.0,198,4341,10.0,70,US,1.0842210597526933,0.3264078928598501
6,chevrolet impala,14.0,8,454.0,220,4354,9.0,70,US,1.2468463806148904,0.22450517426037342
7,plymouth fury iii,14.0,8,440.0,215,4312,8.5,70,US,1.0876727651237696,0.1305179993693812
8,pontiac catalina,14.0,8,455.0,225,4425,10.0,70,US,1.213785136318325,0.06094272475874371
9,amc ambassador dpl,15.0,8,390.0,190,3850,8.5,70,US,1.1947268078237328,0.17245083476704196
10,dodge challenger se,15.0,8,383.0,170,3563,10.0,70,US,1.1106597472978446,0.1751197174955793
11,plymouth 'cuda 340,14.0,8,340.0,160,3609,8.0,70,US,0.96377796170662,0.37597828195613453
12,chevrolet monte carlo,15.0,8,400.0,150,3761,9.5,70,US,0.991190236823456,0.007842689389479324
13,buick estate wagon (sw),14.0,8,455.0,225,3086,10.0,70,US,1.077631847010204,0.4066934975761377
14,toyota corona mark ii,24.0,4,113.0,95,2372,15.0,70,Japan,-0.3062019994950797,0.818873873562755
15,plymouth duster,22.0,6,198.0,95,2833,15.5,70,US,0.18511663086718017,0.6179032601569387
16,amc hornet,18.0,6,199.0,97,2774,15.5,70,US,0.2540775490956161,0.5333519104539011
17,ford maverick,21.0,6,200.0,85,2587,16.0,70,US,0.26653631248395626,0.5783978010657522
18,datsun pl510,27.0,4,97.0,88,2130,14.5,70,Japan,-0.36132592066987174,0.6093340318518641
19,volkswagen 1131 deluxe sedan,26.0,4,97.0,46,1835,20.5,70,Europe,-0.4348392384702562,0.47617209198883687
20,peugeot 504,25.0,4,110.0,87,2672,17.5,70,Europe,-0.18575535653868144,0.5957081539682194
21,audi 100 ls,24.0,4,107.0,90,2430,14.5,70,Europe,-0.16729536051617974,0.44278805371765484
22,saab 99e,25.0,4,104.0,95,2375,17.5,70,Europe,-0.20100279672596735,0.6484462105429283
23,bmw 2002,26.0,4,121.0,113,2234,12.5,70,Europe,-0.08762135411800775,0.5426463029640932
24,amc gremlin,21.0,6,199.0,90,2648,15.0,70,US,0.2726717935508659,0.34791350221259704
25,ford f250,10.0,8,360.0,215,4615,14.0,70,US,0.992041880920586,0.1751130749546232
26,chevy c20,10.0,8,307.0,200,4376,15.0,70,US,1.053743581014932,0.42293106031104755
27,dodge d200,11.0,8,318.0,210,4382,13.5,70,US,0.9986536067526488,0.2262711334805061
28,hi 1200d,9.0,8,304.0,193,4732,18.5,70,US,1.0026959063204461,0.13458968942509267
